Date,Model name,Data scope,RAG,TP,FP,TN,FN,Unclear result in real dataset,Unclear result in artificial dataset,Precision,Recall,Accuracy,F1 Score,Execution time,GPU name
02.05.2025 07:28,meta-llama/Llama-3.1-8B-Instruct,Switzerland Nebenwerte,TRUE,15,0,100,85,0,0,1,0.15,0.575,0.2609,94.92,NVIDIA A100-SXM4-40GB
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
